lambda,dispatch,queue,mean_system_time,mean_queue_size,mean_in_system,tasks
0.2,random,fcfs,1.23718,0.0486955,1.0487,100000
0.2,random,sjf,1.22336,0.0444556,1.04446,100000
0.2,random,ljf,1.28048,0.0544749,1.05447,100000
0.2,sqf,fcfs,1.00365,0,0.41,100000
0.2,sqf,sjf,1.00606,0,0.41,100000
0.2,sqf,ljf,1.00146,0,0.42,100000
0.2,rr,fcfs,1.00815,9e-05,1.00009,100000
0.2,rr,sjf,1.00793,3e-05,1.00003,100000
0.2,rr,ljf,1.01021,9e-05,1.00009,100000
0.2,two-random-choices,fcfs,1.03993,0.000120258,1.00012,100000
0.2,two-random-choices,sjf,1.03921,3.92703e-05,1.00004,100000
0.2,two-random-choices,ljf,1.037,5.0216e-05,1.00005,100000
0.2,two-rr-random-choices,fcfs,1.0005,0,1,100000
0.2,two-rr-random-choices,sjf,1.00255,0,1,100000
0.2,two-rr-random-choices,ljf,0.999484,0,1,100000
0.5,random,fcfs,2.01384,0.508438,1.50844,100000
0.5,random,sjf,1.71219,0.35569,1.35569,100000
0.5,random,ljf,2.44972,0.726117,1.72612,100000
0.5,sqf,fcfs,1.00896,0,0.84,100000
0.5,sqf,sjf,1.00184,0,0.81,100000
0.5,sqf,ljf,1.00066,0,0.81,100000
0.5,rr,fcfs,1.25739,0.05477,1.05477,100000
0.5,rr,sjf,1.23669,0.04268,1.04268,100000
0.5,rr,ljf,1.31925,0.07836,1.07836,100000
0.5,two-random-choices,fcfs,1.2645,0.0161592,1.01616,100000
0.5,two-random-choices,sjf,1.26969,0.0163022,1.0163,100000
0.5,two-random-choices,ljf,1.27302,0.0170111,1.01701,100000
0.5,two-rr-random-choices,fcfs,1.13198,0.00171044,1.00171,100000
0.5,two-rr-random-choices,sjf,1.12168,0.00132226,1.00132,100000
0.5,two-rr-random-choices,ljf,1.12601,0.0016004,1.0016,100000
0.7,random,fcfs,3.33704,1.63823,2.63823,100000
0.7,random,sjf,2.28047,0.890453,1.89045,100000
0.7,random,ljf,5.10478,2.82536,3.82536,100000
0.7,sqf,fcfs,1.00371,0,1,100000
0.7,sqf,sjf,0.999703,0,1,100000
0.7,sqf,ljf,0.994578,0,1,100000
0.7,rr,fcfs,1.86931,0.4079,1.4079,100000
0.7,rr,sjf,1.6249,0.2413,1.2413,100000
0.7,rr,ljf,2.39194,0.77233,1.77233,100000
0.7,two-random-choices,fcfs,1.63504,0.133741,1.13374,100000
0.7,two-random-choices,sjf,1.56107,0.108749,1.10875,100000
0.7,two-random-choices,ljf,1.69978,0.155423,1.15542,100000
0.7,two-rr-random-choices,fcfs,1.40681,0.0418118,1.04181,100000
0.7,two-rr-random-choices,sjf,1.36917,0.033933,1.03393,100000
0.7,two-rr-random-choices,ljf,1.42769,0.0468099,1.04681,100000
0.9,random,fcfs,9.15453,7.22307,8.22307,100000
0.9,random,sjf,4.04224,2.706,3.706,100000
0.9,random,ljf,24.9666,20.9771,21.9771,100000
0.9,sqf,fcfs,1.05726,0,1,100000
0.9,sqf,sjf,1.05965,0,1,100000
0.9,sqf,ljf,1.04571,0,1,100000
0.9,rr,fcfs,5.28376,3.46223,4.46223,100000
0.9,rr,sjf,2.78237,1.22898,2.22898,100000
0.9,rr,ljf,12.8978,10.2386,11.2386,100000
0.9,two-random-choices,fcfs,2.594,0.792072,1.79207,100000
0.9,two-random-choices,sjf,2.17395,0.543485,1.54348,100000
0.9,two-random-choices,ljf,3.62807,1.46983,2.46983,100000
0.9,two-rr-random-choices,fcfs,2.15511,0.432809,1.43281,100000
0.9,two-rr-random-choices,sjf,1.96509,0.327936,1.32794,100000
0.9,two-rr-random-choices,ljf,2.68026,0.763102,1.7631,100000
